epoch,train_loss,val_auc
1,1.2027201943038366,0.6376451965352873
2,1.1927926946329448,0.6369861190727925
3,1.1889908305668442,0.6388165651252471
4,1.1869851812908458,0.6394282316729603
5,1.1865756230138065,0.6390885995548731
6,1.184862051157496,0.6395337678335473
7,1.1838052330811077,0.6395911260306547
8,1.1835046809808936,0.641129302178299
9,1.1818427515077936,0.6423956021762073
10,1.1809168451132133,0.6418374464067336
11,1.1805138972674414,0.6429789487989637
12,1.1792574387267198,0.6419264605818666
13,1.1778644013216248,0.6423375621580347
14,1.1776413753338073,0.6435151767159665
15,1.1752853051500813,0.6419462820942612
16,1.1747261178948596,0.6427615696329365
17,1.1724928892526219,0.6412805812271334
18,1.1715242703827935,0.6412940837192989
19,1.1691000648712295,0.6417927384254605
